id,title,ngo_name,ngo_contact_email,year,destination_country,eligible_residence_countries,infopack_url,application_form_url_default,application_form_urls_by_residence,description,tags,status,submitted_at,approved_at
id,title,ngo_name,ngo_contact_email,year,destination_country,eligible_residence_countries,infopack_url,application_form_url_default,application_form_urls_by_residence,description,tags,status,approved_at,type,category,city,spots,start_date,end_date,image_url
ka151-2025-gr-001,Youth Exchange: Cultural Threads,YouthAction,info@youthaction.org,2025,Greece,ALL,https://example.org/infopacks/cultural-threads,https://example.org/apply/cultural-threads,,"Intercultural youth exchange exploring heritage and crafts.",exchange;youth;culture,APPROVED,2025-01-15T12:00:00Z,KA151,Youth Exchange,Athens,24,2025-06-01,2025-06-15,./docs/assets/placeholder.svg
ka152-2024-it-001,Volunteering: Green Gardens,GoodWorks,contact@goodworks.eu,2024,Italy,"Greece;Italy",https://example.org/infopacks/green-gardens,https://example.org/apply/green-gardens,"{""Greece"": ""https://example.org/apply/gr-green"", ""Italy"": ""https://example.org/apply/it-green""}","Volunteering project restoring urban gardens.",volunteering;environment,APPROVED,2024-06-05T10:00:00Z,KA152,Volunteering,Rome,12,2024-09-01,2024-09-14,./docs/assets/placeholder.svg
ka151-2025-es-001,Languages in Action,LinguaYouth,hello@linguayouth.eu,2025,Spain,ALL,https://example.org/infopacks/languages-action,https://example.org/apply/languages-action,,"Language immersion and peer teaching.",language;exchange,APPROVED,2025-02-01T10:00:00Z,KA151,Youth Exchange,Valencia,30,2025-07-05,2025-07-19,./docs/assets/placeholder.svg
ka152-2026-pt-001,Digital Skills Mobility,EduPartners,contact@edupartners.org,2026,Portugal,"Portugal;Spain;France",https://example.org/infopacks/digital-skills,https://example.org/apply/digital-skills,,"Training for youth workers on digital facilitation.",training;youthworker,APPROVED,2026-01-08T09:00:00Z,KA152,Youth Worker Mobility,Lisbon,20,2026-03-10,2026-03-17,./docs/assets/placeholder.svg
ka151-2024-ee-001,Civic Action Exchange,ActiveYouth,act@activeyouth.ee,2024,Estonia,"Estonia;Latvia;Lithuania",https://example.org/infopacks/civic-action,https://example.org/apply/civic-action,,"Community engagement and civic projects.",civic;exchange,APPROVED,2024-05-20T11:00:00Z,KA151,Youth Exchange,Tallinn,18,2024-08-12,2024-08-24,./docs/assets/placeholder.svg
ka153-2025-pl-001,Music & Inclusion Partnership,Harmony,info@harmony.org,2025,Poland,ALL,https://example.org/infopacks/music-inclusion,https://example.org/apply/music-inclusion,,"Partner project using music for social inclusion.",partnership;music,APPROVED,2025-03-12T08:30:00Z,KA153,Partnership,Krakow,16,2025-10-01,2025-10-07,./docs/assets/placeholder.svg
ka151-2024-ro-001,Outdoor Learning Exchange,GreenSteps,info@greensteps.ro,2024,Romania,"Romania;Bulgaria",https://example.org/infopacks/outdoor-learning,https://example.org/apply/outdoor-learning,,"Nature-based education exchange.",outdoor;education,APPROVED,2024-07-02T09:00:00Z,KA151,Youth Exchange,Cluj,20,2024-09-15,2024-09-29,./docs/assets/placeholder.svg
ka152-2025-fr-001,Volunteer Arts Exchange,ArtReach,team@artreach.fr,2025,France,"France;Belgium;Netherlands",https://example.org/infopacks/arts-youth,https://example.org/apply/arts-youth,,"Volunteer placements in arts organizations.",arts;volunteering,APPROVED,2025-04-11T10:30:00Z,KA152,Volunteering,Lyon,14,2025-11-05,2025-11-18,./docs/assets/placeholder.svg
ka151-2026-de-001,STEM Exchange for Youth,NextGen,contact@nextgen.de,2026,Germany,ALL,https://example.org/infopacks/stem-exchange,https://example.org/apply/stem-exchange,,"Hands-on STEM projects with partner schools.",STEM;education,APPROVED,2026-02-02T09:20:00Z,KA151,Youth Exchange,Berlin,28,2026-05-20,2026-06-02,./docs/assets/placeholder.svg
ka152-2025-tr-001,Inclusion Practices Mobility,BridgeEU,info@bridgeeu.org,2025,Turkey,"Turkey;Greece;Bulgaria",https://example.org/infopacks/inclusion-practices,https://example.org/apply/inclusion-practices,,"Exchange of good practices in inclusion.",inclusion;training,APPROVED,2025-06-10T09:00:00Z,KA152,Youth Worker Mobility,Istanbul,10,2025-09-10,2025-09-16,./docs/assets/placeholder.svg
